key,zh,en
<shell_coin>,贝壳,shell_coin
<copper_coin>,铜币,copper_coin
<iron_coin>,铁币,iron_coin
<silver_coin>,银币,silver_coin
<gold_coin>,金币,gold_coin
<titanium_coin>,钛币,titanium_coin
<population>,人口,population
<manpower>,人力,manpower
<electricity>,电力,electricity
<oxygen>,氧气,oxygen
<berry>,浆果,berry
<wheat>,小麦,wheat
<corn>,玉米,corn
<rice>,水稻,rice
<canned_food>,罐头食品,canned_food
<cultured_meat>,培养肉,cultured_meat
<frozen_cultured_meat>,冷冻培养肉,frozen_cultured_meat
<ice>,冰块,ice
<water>,水,water
<dirt>,泥土,dirt
<clay>,黏土,clay
<wood>,木材,wood
<hardwood>,硬木材,hardwood
<rock>,岩石,rock
<sand>,沙子,sand
<dirt_plank>,土板,dirt_plank
<wood_plank>,木板,wood_plank
<hardwood_plank>,硬木板,hardwood_plank
<rock_plank>,石板,rock_plank
<glass>,玻璃,glass
<glass_plank>,玻璃板,glass_plank
<copper_ore>,铜矿石,copper_ore
<tin_ore>,锡矿石,tin_ore
<aluminum_ore>,铝矿石,aluminum_ore
<iron_ore>,铁矿石,iron_ore
<silver_ore>,银矿石,silver_ore
<gold_ore>,金矿石,gold_ore
<titanium_ore>,钛矿石,titanium_ore
<lithium_ore>,锂矿石,lithium_ore
<uranium_ore>,铀矿石,uranium_ore
<silicon_ore>,硅矿石,silicon_ore
<coal>,煤碳块,coal
<copper_ingot>,铜锭,copper_ingot
<tin_ingot>,锡锭,tin_ingot
<aluminum_ingot>,铝锭,aluminum_ingot
<Iron_ingot>,铁锭,Iron_ingot
<silver_ingot>,银锭,silver_ingot
<gold_ingot>,金锭,gold_ingot
<titanium_ingot>,钛锭,titanium_ingot
<lithium_ingot>,锂锭,lithium_ingot
<uranium_ingot>,铀锭,uranium_ingot
<silicon_ingot>,硅锭,silicon_ingot
<bronze_alloy>,青铜合金,bronze_alloy
<aluminum_alloy>,铝合金,aluminum_alloy
<titanium_alloy>,钛合金,titanium_alloy
<high_purity_oxygen>,高纯氧,high_purity_oxygen
<high_purity_uranium>,高纯铀,high_purity_uranium
<uranium_bomb>,铀弹,uranium_bomb
<high_purity_hydrogen>,高纯氢,high_purity_hydrogen
<hydrogen_bomb>,氢弹,hydrogen_bomb
<high_purity_lithium>,高纯锂,high_purity_lithium
<lithium_battery>,锂电池,lithium_battery
<advanced_lithium_battery>,先进锂电池,advanced_lithium_battery
<high_purity_silicon>,高纯硅,high_purity_silicon
<silicon_wafer>,单晶硅片,silicon_wafer
<chips>,芯片,chips
<advanced_chips>,先进芯片,advanced_chips
<tile>,瓷砖,Tile
<wall>,墙壁,Wall
<agriculture>,农业,agriculture
<industry>,工业,industry
<commerce>,商业,commerce
<technology>,科技,technology
<wonder>,奇观,wonder
<decoration>,装饰,decoration
